mac:90b1.1c95.3641----info{'IP': '172.17.101.149', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:b8ca.3aa9.ab96----info{'IP': '172.17.101.148', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:b8ca.3a7f.9171----info{'IP': '172.17.110.102', 'product': 'Vlan225', 'time': '2015-02-04'}
mac:986c.f565.3f79----info{'IP': '172.17.10.94', 'product': 'Vlan220', 'time': '2015-02-04'}
mac:000c.299c.5e64----info{'IP': '172.17.101.36', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:0018.0a31.ba4e----info{'IP': '172.17.6.11', 'product': 'Vlan203', 'time': '2015-02-04'}
mac:000c.29b2.3b42----info{'IP': '172.17.3.8', 'product': 'Vlan216', 'time': '2015-02-04'}
mac:90b1.1c91.47b9----info{'IP': '172.17.103.173', 'product': 'Vlan212', 'time': '2015-02-04'}
mac:3417.ebb1.0989----info{'IP': '172.17.105.184', 'product': 'Vlan215', 'time': '2015-02-04'}
mac:0025.64bb.8c7c----info{'IP': '172.17.103.182', 'product': 'Vlan212', 'time': '2015-02-04'}
mac:b8ac.6f3e.a831----info{'IP': '172.17.3.91', 'product': 'Vlan216', 'time': '2015-02-04'}
mac:28d2.4447.738c----info{'IP': '172.17.110.98', 'product': 'Vlan225', 'time': '2015-02-04'}
mac:000c.2958.8c33----info{'IP': '172.17.101.22', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:5c26.0a4b.bc48----info{'IP': '172.17.103.213', 'product': 'Vlan212', 'time': '2015-02-04'}
mac:d4be.d9f7.00f1----info{'IP': '172.17.3.102', 'product': 'Vlan216', 'time': '2015-02-04'}
mac:f8b1.56d0.1c45----info{'IP': '172.17.105.111', 'product': 'Vlan215', 'time': '2015-02-04'}
mac:3417.ebd0.c1d7----info{'IP': '172.17.103.206', 'product': 'Vlan212', 'time': '2015-02-04'}
mac:0c27.247b.2041----info{'IP': '172.17.1.11', 'product': 'Vlan218', 'time': '2015-02-04'}
mac:1859.3679.7118----info{'IP': '172.17.10.97', 'product': 'Vlan220', 'time': '2015-02-04'}
mac:b8ca.3a90.f7a1----info{'IP': '172.17.105.57', 'product': 'Vlan215', 'time': '2015-02-04'}
mac:0023.7d8c.110f----info{'IP': '172.17.3.7', 'product': 'Vlan216', 'time': '2015-02-04'}
mac:c8e0.eb6c.aea1----info{'IP': '172.17.10.86', 'product': 'Vlan220', 'time': '2015-02-04'}
mac:000c.29c1.58e5----info{'IP': '172.17.3.21', 'product': 'Vlan216', 'time': '2015-02-04'}
mac:000c.291a.e5b4----info{'IP': '172.17.101.47', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:20c9.d089.0f6d----info{'IP': '172.17.101.150', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:001c.f698.0bc2----info{'IP': '172.17.1.12', 'product': 'Vlan218', 'time': '2015-02-04'}
mac:3417.ebc4.e27a----info{'IP': '172.17.105.172', 'product': 'Vlan215', 'time': '2015-02-04'}
mac:3417.ebb1.0c50----info{'IP': '172.17.108.51', 'product': 'Vlan223', 'time': '2015-02-04'}
mac:000c.2992.e254----info{'IP': '172.17.105.14', 'product': 'Vlan215', 'time': '2015-02-04'}
mac:b8ca.3a7f.81a9----info{'IP': '172.17.101.137', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:3417.ebb1.07a3----info{'IP': '172.17.101.136', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:0025.64bb.8cf5----info{'IP': '172.17.101.2', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:60f8.1d41.0354----info{'IP': '172.17.101.155', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:90b1.1c79.fc31----info{'IP': '172.17.101.130', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:0018.0a34.cc4e----info{'IP': '172.17.6.22', 'product': 'Vlan203', 'time': '2015-02-04'}
mac:3417.ebd0.bc9d----info{'IP': '172.17.101.135', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:0017.a497.c987----info{'IP': '172.17.53.31', 'product': 'Vlan209', 'time': '2015-02-04'}
mac:6003.0899.8fd2----info{'IP': '172.17.10.96', 'product': 'Vlan220', 'time': '2015-02-04'}
mac:1803.7331.31da----info{'IP': '172.17.102.64', 'product': 'Vlan214', 'time': '2015-02-04'}
mac:b8ca.3a97.e942----info{'IP': '172.17.105.82', 'product': 'Vlan215', 'time': '2015-02-04'}
mac:3417.ebc2.c521----info{'IP': '172.17.110.215', 'product': 'Vlan225', 'time': '2015-02-04'}
mac:5c26.0a4b.bc4f----info{'IP': '172.17.101.118', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:3417.ebd1.2909----info{'IP': '172.17.104.59', 'product': 'Vlan210', 'time': '2015-02-04'}
mac:b8ca.3a84.3751----info{'IP': '172.17.101.124', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:000c.290d.2da6----info{'IP': '172.17.105.16', 'product': 'Vlan215', 'time': '2015-02-04'}
mac:b8ca.3a78.35af----info{'IP': '172.17.111.55', 'product': 'Vlan226', 'time': '2015-02-04'}
mac:f8b1.56d9.10ec----info{'IP': '172.17.101.88', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:0004.f22c.7752----info{'IP': '172.17.4.6', 'product': 'Vlan204', 'time': '2015-02-04'}
mac:0018.0a83.1620----info{'IP': '172.17.6.25', 'product': 'Vlan203', 'time': '2015-02-04'}
mac:90b1.1c95.3ab1----info{'IP': '172.17.103.224', 'product': 'Vlan212', 'time': '2015-02-04'}
mac:b8ca.3aa9.d425----info{'IP': '172.17.110.97', 'product': 'Vlan225', 'time': '2015-02-04'}
mac:7c1d.d9f5.e527----info{'IP': '172.17.101.145', 'product': 'Vlan211', 'time': '2015-02-04'}
