mac:b8ac.6f3e.a831----info['172.17.3.91', '2015-02-10', 'Vlan216', 'null']
mac:28d2.4447.738c----info['172.17.110.98', '2015-02-10', 'Vlan225', 'agcn1-laptop80']
mac:000c.2958.8c33----info['172.17.101.22', '2015-02-10', 'Vlan211', 'null']
mac:5c26.0a4b.bc48----info['172.17.103.213', '2015-02-10', 'Vlan212', 'agcn1-laptop14']
mac:d4be.d9f7.00f1----info['172.17.3.102', '2015-02-10', 'Vlan216', 'null']
mac:f8b1.56d0.1c45----info['172.17.105.111', '2015-02-10', 'Vlan215', 'agcn1-wkeng248']
mac:3417.ebd0.c1d7----info['172.17.103.206', '2015-02-10', 'Vlan212', 'agcn1-wkeng299']
mac:d4be.d975.2022----info['172.17.104.78', '2015-02-10', 'Vlan210', 'agcn1-laptop58']
mac:1859.3679.7118----info['172.17.10.97', '2015-02-10', 'Vlan220', 'null']
mac:b8ca.3a90.f7a1----info['172.17.105.57', '2015-02-10', 'Vlan215', 'agcn1-wkeng199']
mac:c8e0.eb6c.aea1----info['172.17.10.86', '2015-02-10', 'Vlan220', 'null']
mac:000c.29c1.58e5----info['172.17.3.21', '2015-02-10', 'Vlan216', 'null']
mac:000c.291a.e5b4----info['172.17.101.47', '2015-02-10', 'Vlan211', 'null']
mac:20c9.d089.0f6d----info['172.17.101.150', '2015-02-10', 'Vlan211', 'null']
mac:001c.f698.0bc2----info['172.17.1.12', '2015-02-10', 'Vlan218', 'null']
mac:000c.291a.2bf6----info['172.17.101.28', '2015-02-10', 'Vlan211', 'null']
mac:3417.ebb1.0c50----info['172.17.108.51', '2015-02-10', 'Vlan223', 'agcn1-wkeng273']
mac:000c.2992.e254----info['172.17.105.14', '2015-02-10', 'Vlan215', 'null']
mac:b8ca.3a7f.81a9----info['172.17.101.137', '2015-02-10', 'Vlan211', 'agcn1-wkeng187']
mac:3417.ebb1.07a3----info['172.17.101.136', '2015-02-10', 'Vlan211', 'agcn1-wkeng281']
mac:0025.64bb.8cf5----info['172.17.101.2', '2015-02-10', 'Vlan211', 'null']
mac:60f8.1d41.0354----info['172.17.101.155', '2015-02-10', 'Vlan211', 'null']
mac:90b1.1c79.fc31----info['172.17.101.130', '2015-02-10', 'Vlan211', 'agcn1-wkeng158']
mac:0018.0a34.cc4e----info['172.17.6.22', '2015-02-10', 'Vlan203', 'null']
mac:3417.ebd0.bc9d----info['172.17.101.135', '2015-02-10', 'Vlan211', 'agcn1-wkeng309']
mac:0017.a497.c987----info['172.17.53.31', '2015-02-10', 'Vlan209', 'null']
mac:0060.6f4d.0311----info['172.17.5.3', '2015-02-10', 'Vlan205', 'null']
mac:1803.7331.31da----info['172.17.102.64', '2015-02-10', 'Vlan214', 'agcn1-wkeng150']
mac:b8ca.3a97.e942----info['172.17.105.82', '2015-02-10', 'Vlan215', 'agcn1-wkeng206']
mac:3417.ebc2.c521----info['172.17.110.215', '2015-02-10', 'Vlan225', 'agcn1-wkeng290']
mac:5c26.0a4b.bc4f----info['172.17.101.118', '2015-02-10', 'Vlan211', 'null']
mac:3417.ebd1.2909----info['172.17.104.59', '2015-02-10', 'Vlan210', 'AGCN1-WKENG310']
mac:b8ca.3a84.3751----info['172.17.101.124', '2015-02-10', 'Vlan211', 'agcn1-wkeng190']
mac:000c.290d.2da6----info['172.17.105.16', '2015-02-10', 'Vlan215', 'null']
mac:b8ca.3a78.35af----info['172.17.111.55', '2015-02-10', 'Vlan226', 'agcn1-wkeng181']
mac:f8b1.56d9.10ec----info['172.17.101.88', '2015-02-10', 'Vlan211', 'agcn1-wkeng255']
mac:0004.f22c.7752----info['172.17.4.6', '2015-02-10', 'Vlan204', 'null']
mac:0018.0a83.1620----info['172.17.6.25', '2015-02-10', 'Vlan203', 'null']
mac:f8b1.56d0.1f20----info['172.17.101.104', '2015-02-10', 'Vlan211', 'agcn1-wkeng243']
mac:90b1.1c95.3ab1----info['172.17.103.224', '2015-02-10', 'Vlan212', 'agcn1-wkeng171']
mac:b8ca.3aa9.d425----info['172.17.110.97', '2015-02-10', 'Vlan225', 'agcn1-wkeng223']
mac:7c1d.d9f5.e527----info['172.17.101.145', '2015-02-10', 'Vlan211', 'null']
mac:b8ca.3a97.e00d----info['172.17.103.184', '2015-02-10', 'Vlan212', 'agcn1-wkeng205']
mac:8056.f23a.f5a6----info['172.17.101.138', '2015-02-10', 'Vlan211', 'agcn1-laptop65']
mac:000c.29cd.30ed----info['172.17.101.24', '2015-02-10', 'Vlan211', 'null']
